Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
effective-register,Effective register,effective-register,,0,
in-liquidation/course-of-dissolution,In liquidation/course of dissolution,in-liquidation/course-of-dissolution,,1,
total-register,Total register,total-register,,2,
